"text_id","title","short_title"
"430","Narmamālā","NMa"
"6","Nibandhasaṃgraha","NiSam"
"386","Nighaṇṭuśeṣa","NiSe"
"367","Nirukta","Nir"
"384","Nyāyabhāṣya","NyaBha"
"424","Nyāyabindu","NyaBi"
"382","Nyāyasūtra","NyaSu"
"111","Nādabindūpaniṣat","NaBiUp"
"410","Nāradasmṛti","NaSmr"
"292","Nāḍīparīkṣā","NaPa"
"293","Nāḍīvijñāna","NaVi"
"356","Nāṭyaśāstra","NaSa"
"357","Nāṭyaśāstravivṛti","NaSaVi"
"181","Padārthacandrikā","PCa"
"180","Paramānandīyanāmamālā","PNaMa"
"438","Paraśurāmakalpasūtra","PRaKSu"
"345","Parāśaradharmasaṃhitā","PDhSam"
"346","Parāśarasmṛtiṭīkā","PSmrTi"
"435","Pañcaviṃśabrāhmaṇa","PViBra"
"96","Pañcārthabhāṣya","PArBha"
"299","Prasannapadā","PrP"
"312","Pāraskaragṛhyasūtra","PaGrSu"
"95","Pāśupatasūtra","PaPaSu"
"160","Rasahṛdayatantra","RHrT"
"212","Rasakāmadhenu","RKaDhe"
"315","Rasamañjarī","RMan"
"314","Rasaprakāśasudhākara","RPrSu"
"149","Rasaratnasamuccaya","RRSam"
"228","Rasaratnasamuccayabodhinī","RRSamBo"
"360","Rasaratnasamuccayadīpikā","RRSamDi"
"324","Rasaratnasamuccayaṭīkā","RRSamTi"
"57","Rasaratnākara","RRAk"
"196","Rasasaṃketakalikā","RSamK"
"334","Rasataraṅgiṇī","RTar"
"192","Rasendracintāmaṇi","RInCi"
"215","Rasendracūḍāmaṇi","RInCu"
"320","Rasendrasārasaṃgraha","RInSaSam"
"244","Rasikapriyā","RPri"
"237","Rasikasaṃjīvanī","RSam"
"126","Rasādhyāya","RAdh"
"127","Rasādhyāyaṭīkā","RAdhTi"
"142","Rasārṇava","RAr"
"139","Rasārṇavakalpa","RArK"
"311","Ratnadīpikā","RDi"
"29","Ratnaṭīkā","RTi"
"184","Rājamārtaṇḍa","RaMa"
"12","Rājanighaṇṭu","RaNi"
"143","Rāmāyaṇa","Ra"
"532","Saddharmapuṇḍarīkasūtra","SPuSu"
"145","Sarvadarśanasaṃgraha","SDSam"
"15","Sarvāṅgasundarā","SAnSu"
"463","Saundarānanda","SauN"
"434","Saṃvitsiddhi","SamSi"
"227","Saṅghabhedavastu","SBheV"
"140","Skandapurāṇa","SkPur"
"300","Skandapurāṇa (Revākhaṇḍa)","SkPurRev"
"51","Smaradīpikā","SmDi"
"48","Spandakārikā","SpKa"
"49","Spandakārikānirṇaya","SpKaAn"
"380","Sphuṭārthāvyākhyā","SphuVya"
"5","Suśrutasaṃhitā","SuSam"
"558","Sāmavidhānabrāhmaṇa","SaViBra"
"69","Sātvatatantra","SaT"
"359","Sāṃkhyakārikā","SamKar"
"363","Sāṃkhyakārikābhāṣya","SamKarBha"
"373","Sāṃkhyatattvakaumudī","SamTKau"
"8","Sūryasiddhānta","SuSi"
"351","Sūryaśataka","SuS"
"352","Sūryaśatakaṭīkā","SuSTi"
"526","Taittirīyabrāhmaṇa","TaiBra"
"510","Taittirīyasaṃhitā","TaiSam"
"460","Taittirīyopaniṣad","TaiUp"
"546","Taittirīyāraṇyaka","TaiAr"
"38","Tantrasāra","TSa"
"391","Tantrākhyāyikā","TAkhy"
"408","Tantrāloka","TAlo"
"409","Tarkasaṃgraha","TSam"
"403","Tattvavaiśāradī","TVai"
"168","Toḍalatantra","ToT"
"396","Trikāṇḍaśeṣa","TriAnSe"
